# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1425 7.465194e-10 9.376049e-10 9.914560e-10 9.374224e-10 4.701227e-08 6.108579e-15
1426 7.474515e-10 9.397993e-10 9.872371e-10 9.318186e-10 4.711155e-08 6.165059e-15
1427 7.492900e-10 9.429918e-10 9.832087e-10 9.277601e-10 4.724683e-08 6.228214e-15
1428 7.547673e-10 9.474134e-10 9.776176e-10 9.265173e-10 4.758218e-08 6.298279e-15
1429 7.641551e-10 9.531392e-10 9.709922e-10 9.269472e-10 4.815633e-08 6.379898e-15
1430 7.775845e-10 9.600855e-10 9.647295e-10 9.282981e-10 4.898906e-08 6.480691e-15
1431 7.897182e-10 9.662667e-10 9.613942e-10 9.307979e-10 4.975528e-08 6.586203e-15
1432 8.024606e-10 9.719754e-10 9.628122e-10 9.341044e-10 5.054376e-08 6.688619e-15
1433 8.150933e-10 9.773506e-10 9.655771e-10 9.365108e-10 5.134348e-08 6.787714e-15
1434 8.276134e-10 9.815237e-10 9.681163e-10 9.377851e-10 5.212010e-08 6.885998e-15
1435 8.381054e-10 9.852551e-10 9.697677e-10 9.377339e-10 5.282091e-08 6.981201e-15
1436 8.473224e-10 9.885355e-10 9.720637e-10 9.376097e-10 5.340093e-08 7.073927e-15
1437 8.546816e-10 9.929646e-10 9.777362e-10 9.391213e-10 5.385507e-08 7.162796e-15
1438 8.601277e-10 9.964853e-10 9.828484e-10 9.403237e-10 5.417538e-08 7.246735e-15
1439 8.639934e-10 9.996515e-10 9.854705e-10 9.399510e-10 5.440337e-08 7.324202e-15
1440 8.666517e-10 1.001550e-09 9.880882e-10 9.365992e-10 5.459256e-08 7.394725e-15
1441 8.676100e-10 1.002309e-09 9.911844e-10 9.287021e-10 5.467321e-08 7.456748e-15
1442 8.669901e-10 1.002564e-09 9.932719e-10 9.164459e-10 5.468692e-08 7.509893e-15
1443 8.670912e-10 1.001283e-09 9.955482e-10 9.052937e-10 5.474031e-08 7.554183e-15
1444 8.658507e-10 9.992616e-10 1.004674e-09 8.974329e-10 5.469746e-08 7.590991e-15
1445 8.631095e-10 9.977053e-10 1.019421e-09 8.962906e-10 5.449199e-08 7.617648e-15
1446 8.579325e-10 9.962578e-10 1.038407e-09 9.008244e-10 5.411294e-08 7.638053e-15
1447 8.527798e-10 9.937015e-10 1.061884e-09 9.063581e-10 5.374987e-08 7.650196e-15
1448 8.499448e-10 9.910597e-10 1.084667e-09 9.112567e-10 5.357796e-08 7.656493e-15
1449 8.502096e-10 9.879413e-10 1.103525e-09 9.189190e-10 5.357908e-08 7.657816e-15
1450 8.498990e-10 9.849159e-10 1.116737e-09 9.321239e-10 5.349165e-08 7.650843e-15
1451 8.477008e-10 9.813918e-10 1.126022e-09 9.473217e-10 5.331043e-08 7.638553e-15
1452 8.448356e-10 9.759746e-10 1.133101e-09 9.637951e-10 5.308957e-08 7.616659e-15
1453 8.406521e-10 9.681310e-10 1.135987e-09 9.790735e-10 5.280462e-08 7.580539e-15
1454 8.351672e-10 9.556773e-10 1.139087e-09 9.940141e-10 5.244493e-08 7.532973e-15
1455 8.265935e-10 9.382286e-10 1.149031e-09 1.007733e-09 5.188011e-08 7.478259e-15
1456 8.178292e-10 9.176187e-10 1.160166e-09 1.019491e-09 5.130521e-08 7.424684e-15
1457 8.165166e-10 8.999047e-10 1.172292e-09 1.028420e-09 5.121774e-08 7.399727e-15
1458 8.229022e-10 8.954119e-10 1.183664e-09 1.033484e-09 5.166103e-08 7.435923e-15
1459 8.280397e-10 8.956615e-10 1.194419e-09 1.038591e-09 5.200202e-08 7.523723e-15
1460 8.338528e-10 8.991761e-10 1.206955e-09 1.040848e-09 5.231230e-08 7.627148e-15
1461 8.447541e-10 9.054529e-10 1.217505e-09 1.042108e-09 5.290805e-08 7.738938e-15
1462 8.603947e-10 9.130818e-10 1.221749e-09 1.041224e-09 5.393921e-08 7.854197e-15
1463 8.742249e-10 9.233515e-10 1.215375e-09 1.040397e-09 5.480810e-08 7.965483e-15
1464 8.811697e-10 9.339058e-10 1.204416e-09 1.038774e-09 5.526513e-08 8.064019e-15
1465 8.823341e-10 9.417684e-10 1.188851e-09 1.036052e-09 5.531670e-08 8.144747e-15
1466 8.784985e-10 9.460129e-10 1.167673e-09 1.029322e-09 5.505211e-08 8.210023e-15
1467 8.718450e-10 9.473708e-10 1.140866e-09 1.019781e-09 5.457190e-08 8.263056e-15
